Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Final consumption category,Final consumption category,Final consumption category,Final consumption category
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Final consumption category,Final consumption category,Final consumption category,Final consumption category
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Final consumption category,Final consumption category,Final consumption category,Final consumption category
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Final consumption category,Final consumption category,Final consumption category,Final consumption category
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Final consumption category,Final consumption category,Final consumption category,Final consumption category
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Growing of rice,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of rice,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of rice,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Growing of rice,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of rice,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of rice,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Growing of rice,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Growing of rice,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of rice,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of rice,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Post-harvest crop activities,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Post-harvest crop activities,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Seed processing for propagation,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Seed processing for propagation,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of rice,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Growing of rice,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Post-harvest crop activities,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Post-harvest crop activities,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Seed processing for propagation,ISIC Class,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Seed processing for propagation,ISIC Class,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of food products,ISIC Division,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of food products,ISIC Division,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of food products,ISIC Division,Manufacture of food products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of food products,ISIC Division,Manufacture of chemicals and chemical products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of food products,ISIC Division,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of food products,ISIC Division,Manufacture of chemicals and chemical products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of food products,ISIC Division,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division,Manufacture of chemicals and chemical products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division,Manufacture of chemicals and chemical products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of food products,ISIC Division,Manufacture of chemicals and chemical products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of food products,ISIC Division,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of food products,ISIC Division,Human health activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of food products,ISIC Division,Residential care activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of food products,ISIC Division,Social work activities without accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of food products,ISIC Division,Veterinary activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of food products,ISIC Division,Human health activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of food products,ISIC Division,Residential care activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of food products,ISIC Division,Social work activities without accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of food products,ISIC Division,Veterinary activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division,Human health activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division,Residential care activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division,Social work activities without accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division,Veterinary activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division,Human health activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division,Residential care activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division,Social work activities without accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division,Veterinary activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of food products,ISIC Division,Human health activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of food products,ISIC Division,Residential care activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of food products,ISIC Division,Social work activities without accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of food products,ISIC Division,Veterinary activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of food products,ISIC Division,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of food products,ISIC Division,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of food products,ISIC Division,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of food products,ISIC Division,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of food products,ISIC Division,Food and beverage service activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of food products,ISIC Division,Accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of food products,ISIC Division,Raising of swine/pigs,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of food products,ISIC Division,Raising of swine/pigs,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division,Raising of swine/pigs,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division,Raising of swine/pigs,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of food products,ISIC Division,Raising of swine/pigs,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of food products,ISIC Division,Raising of poultry,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of food products,ISIC Division,Raising of poultry,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of food products,ISIC Division,Raising of poultry,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of food products,ISIC Division,Raising of poultry,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of food products,ISIC Division,Raising of poultry,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of paper and paper products,ISIC Division,Manufacture of paper and paper products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of paper and paper products,ISIC Division,Manufacture of paper and paper products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of paper and paper products,ISIC Division,Manufacture of paper and paper products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of paper and paper products,ISIC Division,Manufacture of paper and paper products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of paper and paper products,ISIC Division,Manufacture of paper and paper products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of paper and paper products,ISIC Division,Printing and reproduction of recorded media,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of paper and paper products,ISIC Division,Publishing activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of paper and paper products,ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of paper and paper products,ISIC Division,Printing and reproduction of recorded media,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of paper and paper products,ISIC Division,Publishing activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of paper and paper products,ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of paper and paper products,ISIC Division,Printing and reproduction of recorded media,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of paper and paper products,ISIC Division,Publishing activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of paper and paper products,ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of paper and paper products,ISIC Division,Printing and reproduction of recorded media,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of paper and paper products,ISIC Division,Publishing activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of paper and paper products,ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of paper and paper products,ISIC Division,Printing and reproduction of recorded media,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of paper and paper products,ISIC Division,Publishing activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of paper and paper products,ISIC Division,"Motion picture, video and television programme production, sound recording and music publishing activities",ISIC Division
