,,GVA Dependency,GVA Dependency,GVA Dependency,IVA Dependency,IVA Dependency,IVA Dependency
LT,Automotive,174.86,1036.18,0.00,0.00,322.46,0.00
LT,Healthcare delivery,2642.92,0.00,0.00,0.00,353.45,0.00
LT,Electronics,0.00,1538.29,0.00,1134.01,0.00,0.00
LT,Information technology,0.00,558.33,0.00,0.00,55.38,0.00
LT,Insurance and asset management,0.00,0.00,433.03,0.00,29.10,0.00
LT,Banking and capital markets,0.00,0.00,675.25,0.00,45.40,0.00
LT,Digital communications,0.00,0.00,258.43,0.00,71.22,0.00
LT,Public services and others,7560.79,531.25,2869.19,14.09,1229.54,0.00
LU,Forestry,12.01,0.00,0.00,0.00,6.93,0.00
LU,Agriculture,146.06,0.00,0.00,119.51,45.48,0.00
LU,Fishery and aquaculture,0.00,0.00,0.00,0.00,0.00,0.00
LU,Food beverages and tobacco,387.37,150.78,0.00,1952.58,856.09,0.00
LU,Heat utilities,0.00,0.61,0.00,0.00,22.67,0.00
LU,Construction,3797.39,0.00,0.00,0.00,3070.51,0.00
LU,Electricity,1.77,262.81,0.00,20.14,269.61,0.00
LU,Water utilities,89.42,0.00,0.00,0.00,28.55,0.00
LU,Supply chain and transport,1558.50,1297.62,0.00,194.76,3233.70,0.00
LU,Chemical and materials industry,754.72,1049.74,0.00,1065.98,2349.18,0.00
LU,Aviation travel and tourism,2131.36,0.00,0.00,0.00,1296.17,0.00
LU,Real estate,7324.81,0.00,0.00,0.00,592.50,0.00
LU,Mining and metals,307.20,0.00,0.00,0.00,35.03,0.00
LU,Retail consumer goods and lifestyle,1232.31,2661.30,0.00,0.00,2608.35,0.00
LU,Oil and gas,33.76,1.07,0.00,3.42,0.34,0.00
LU,Automotive,270.85,1090.91,0.00,0.00,1865.86,0.00
LU,Healthcare delivery,3669.04,0.00,0.00,0.00,2276.09,0.00
LU,Electronics,0.00,254.30,0.00,1473.27,310.43,0.00
LU,Information technology,0.00,242.95,0.00,0.00,1242.68,0.00
LU,Insurance and asset management,0.00,0.00,2306.39,0.00,4576.78,0.00
LU,Banking and capital markets,0.00,0.00,8854.42,0.00,33883.16,0.00
LU,Digital communications,0.00,0.00,5154.11,0.00,111.71,0.00
LU,Public services and others,15553.51,402.75,3780.95,6304.82,2825.84,0.00
LV,Forestry,874.07,0.00,0.00,68.15,0.00,0.00
LV,Agriculture,797.13,0.00,0.00,292.84,96.87,0.00
LV,Fishery and aquaculture,37.59,0.00,0.00,9.16,0.00,0.00
LV,Food beverages and tobacco,302.55,187.71,0.00,884.62,0.61,0.00
LV,Heat utilities,0.00,0.72,0.00,6.59,0.00,0.00
LV,Construction,0.00,2082.89,0.00,0.00,1651.37,0.00
LV,Electricity,77.14,643.69,0.00,13.73,234.02,0.00
LV,Water utilities,65.63,0.00,0.00,0.00,13.97,0.00
LV,Supply chain and transport,1880.41,1680.24,0.00,215.23,642.79,0.00
LV,Chemical and materials industry,531.36,2542.92,0.00,440.74,1532.94,0.00
LV,Aviation travel and tourism,396.75,0.00,0.00,385.88,0.00,0.00
LV,Real estate,2148.13,0.00,0.00,1786.46,0.00,0.00
LV,Mining and metals,157.54,0.01,0.00,4.30,2.89,0.00
LV,Retail consumer goods and lifestyle,2985.93,867.35,0.00,345.70,315.86,0.00
LV,Oil and gas,0.00,0.15,0.00,0.87,0.00,0.00
LV,Automotive,42.62,482.76,0.00,0.00,162.86,0.00
LV,Healthcare delivery,1294.04,0.00,0.00,185.07,0.00,0.00
LV,Electronics,0.00,458.47,0.00,0.00,258.55,0.00
LV,Information technology,0.00,0.00,962.60,0.00,53.31,0.00
LV,Insurance and asset management,0.00,0.00,282.64,0.00,21.46,0.00
LV,Banking and capital markets,0.00,0.00,597.68,0.00,21.69,0.00
LV,Digital communications,0.00,0.00,476.30,0.00,95.05,0.00
LV,Public services and others,4243.14,622.35,2571.42,238.08,670.94,0.00
MT,Forestry,0.00,0.00,0.00,0.00,0.00,0.00
MT,Agriculture,123.84,0.00,0.00,18.64,60.95,0.00
MT,Fishery and aquaculture,0.00,0.00,0.00,0.00,155.00,0.00
MT,Food beverages and tobacco,142.16,1.54,0.00,9.36,27.85,0.00
MT,Heat utilities,0.00,0.00,0.00,0.00,0.00,0.00
MT,Construction,699.32,0.00,0.00,0.00,549.14,0.00
MT,Electricity,1.29,4.44,0.00,2.47,147.64,0.00
MT,Water utilities,45.09,0.00,0.00,0.00,24.24,0.00
MT,Supply chain and transport,150.40,1271.89,0.00,0.00,96.63,0.00
MT,Chemical and materials industry,146.84,119.12,0.00,11.08,789.35,0.00
MT,Aviation travel and tourism,348.50,0.00,0.00,0.00,638.51,0.00
MT,Real estate,0.00,28.68,0.00,0.00,53.54,0.00
MT,Mining and metals,92.03,0.00,0.00,0.00,6.19,0.00
MT,Retail consumer goods and lifestyle,516.79,481.17,0.00,0.00,198.29,0.00
MT,Oil and gas,0.00,0.56,0.00,0.00,0.11,0.00
MT,Automotive,0.00,110.28,0.00,0.00,211.39,0.00
MT,Healthcare delivery,889.46,0.00,0.00,0.00,297.38,0.00
MT,Electronics,0.00,698.14,0.00,0.00,9.65,0.00
MT,Information technology,0.00,0.00,814.19,0.00,1325.79,0.00
MT,Insurance and asset management,0.00,0.00,332.75,0.00,34.30,0.00
MT,Banking and capital markets,0.00,0.00,113.87,0.00,2523.72,0.00
MT,Digital communications,0.00,0.00,202.31,0.00,132.17,0.00
MT,Public services and others,5113.73,78.35,637.21,499.87,4343.16,0.00
NL,Forestry,182.23,0.00,0.00,83.11,0.00,0.00
NL,Agriculture,14342.42,0.00,0.00,3874.24,2.81,0.00
NL,Fishery and aquaculture,557.78,0.00,0.00,0.00,96.20,0.00
NL,Food beverages and tobacco,22135.70,1970.37,0.00,31825.25,139.99,0.00
NL,Heat utilities,0.00,100.15,0.00,0.00,245.27,0.00
NL,Construction,45625.80,0.00,0.00,0.00,20511.95,0.00
NL,Electricity,2807.99,4082.63,44.75,794.60,4205.62,0.00
NL,Water utilities,1341.01,0.00,0.00,0.00,211.48,0.00
NL,Supply chain and transport,23464.35,30646.09,0.00,16850.79,863.15,0.00
NL,Chemical and materials industry,5708.50,33711.08,0.00,10080.83,20029.02,0.00
NL,Aviation travel and tourism,26399.95,0.00,0.00,7444.22,0.00,0.00
NL,Real estate,0.00,61887.68,0.00,0.00,9831.17,0.00
NL,Mining and metals,65.72,0.00,0.00,7.30,95.85,0.10
NL,Retail consumer goods and lifestyle,30728.38,16.90,59978.57,7069.68,4710.43,0.00
NL,Oil and gas,664.80,3976.16,0.00,0.00,27075.80,0.00
NL,Automotive,4747.78,18462.85,0.00,0.00,17999.37,0.00
NL,Healthcare delivery,74808.28,0.00,0.00,6016.06,0.00,0.00
NL,Electronics,0.00,5506.74,0.00,0.00,13248.70,0.00
NL,Information technology,0.00,0.00,9378.59,0.00,7037.97,0.00
NL,Insurance and asset management,0.00,0.00,17082.31,0.00,3490.57,0.00
NL,Banking and capital markets,0.00,0.00,33925.31,0.00,1003.78,0.00
NL,Digital communications,0.00,0.00,22324.13,0.00,2233.42,0.00
NL,Public services and others,147559.19,28653.67,63639.43,31620.66,34427.14,0.00
PL,Forestry,1929.75,0.00,0.00,0.00,135.67,0.00
PL,Agriculture,13383.25,0.00,0.00,1862.43,788.60,0.00
PL,Fishery and aquaculture,140.02,0.00,0.00,11.09,0.00,0.00
PL,Food beverages and tobacco,19519.70,518.48,0.00,15141.99,77.61,0.00
PL,Heat utilities,269.43,0.00,0.00,0.00,376.97,0.00
PL,Construction,40015.38,0.00,0.00,0.00,13389.23,0.00
PL,Electricity,1566.37,10946.59,0.06,7.22,1306.96,0.00
PL,Water utilities,2224.11,0.00,0.00,0.00,164.33,0.00
PL,Supply chain and transport,33709.61,16715.00,0.00,42.02,5437.06,0.00
PL,Chemical and materials industry,9186.85,41922.45,0.00,12193.09,21675.82,0.00
PL,Aviation travel and tourism,11060.98,0.00,0.00,1177.48,235.17,0.00
PL,Real estate,27910.01,0.00,0.00,0.00,3445.28,0.00
PL,Mining and metals,3824.06,0.00,0.00,26.83,1123.75,0.00
PL,Retail consumer goods and lifestyle,33737.79,33701.50,0.00,0.00,5524.70,0.00
PL,Oil and gas,3633.72,2591.50,0.00,311.73,2717.19,0.00
PL,Automotive,2779.11,20419.26,0.00,3960.38,19116.34,0.00
PL,Healthcare delivery,26818.10,0.00,0.00,0.00,2865.29,0.00
PL,Electronics,0.00,1068.78,0.00,0.85,5466.20,0.00
PL,Information technology,0.00,0.00,10028.21,0.00,368.42,0.00
PL,Insurance and asset management,0.00,0.00,5432.95,0.00,946.19,0.00
PL,Banking and capital markets,0.00,0.00,15369.22,0.00,785.21,0.00
PL,Digital communications,0.00,0.00,10767.76,0.00,1605.22,0.00
PL,Public services and others,67185.55,23605.16,32833.50,2032.26,15304.90,0.00
PT,Forestry,1703.64,0.00,0.00,0.00,13.25,0.00
PT,Agriculture,2967.73,0.00,0.00,901.13,40.11,0.00
PT,Fishery and aquaculture,366.47,0.00,0.00,0.00,67.86,0.00
PT,Food beverages and tobacco,3609.49,173.43,0.00,2976.74,441.11,0.00
PT,Heat utilities,0.00,6.88,0.00,0.00,5.53,0.00
PT,Construction,10224.04,0.00,0.00,0.00,3491.99,0.00
PT,Electricity,1142.18,2466.08,0.00,548.19,219.00,0.00
PT,Water utilities,805.70,0.00,0.00,0.00,77.21,0.00
PT,Supply chain and transport,4334.64,9101.04,0.00,65.72,1252.37,0.00
PT,Chemical and materials industry,3354.82,11695.06,0.00,3050.17,4879.77,0.00
PT,Aviation travel and tourism,8296.32,0.00,0.00,1598.91,676.77,0.00
PT,Real estate,23100.54,0.00,0.00,0.00,555.62,0.00
PT,Mining and metals,566.13,0.00,0.00,0.00,113.21,0.00
PT,Retail consumer goods and lifestyle,9141.08,14998.31,0.00,0.00,2720.28,0.00
PT,Oil and gas,402.27,54.79,0.00,0.00,3050.44,0.00
PT,Automotive,141.00,5128.43,0.00,434.74,5126.01,0.00
PT,Healthcare delivery,13347.44,0.00,0.00,0.00,1449.49,0.00
PT,Electronics,0.00,9793.38,0.00,0.00,3913.61,0.00
PT,Information technology,0.00,0.00,4029.21,0.00,248.71,0.00
PT,Insurance and asset management,0.00,0.00,2633.16,0.00,187.23,0.00
PT,Banking and capital markets,0.00,0.00,6714.23,0.00,185.43,0.00
PT,Digital communications,0.00,0.00,2889.73,0.00,376.14,0.00
PT,Public services and others,17493.47,14244.29,15593.17,2491.24,2910.39,0.00
RO,Forestry,831.16,0.00,0.00,0.00,112.53,0.00
RO,Agriculture,9290.08,0.00,0.00,1566.94,1191.11,0.71
RO,Fishery and aquaculture,255.68,0.00,0.00,0.00,21.14,0.00
RO,Food beverages and tobacco,8938.62,91.78,0.00,3210.25,332.78,0.00
RO,Heat utilities,0.00,5.34,0.00,0.00,95.13,0.00
RO,Construction,0.00,15222.69,0.00,0.00,4760.16,0.00
RO,Electricity,720.24,3928.24,0.00,0.00,1656.31,0.00
RO,Water utilities,479.10,0.00,0.00,0.00,338.52,0.00
RO,Supply chain and transport,22380.25,2689.02,0.00,1389.95,2670.87,0.00
RO,Chemical and materials industry,3703.14,9838.95,0.00,1023.51,6818.33,0.00
RO,Aviation travel and tourism,3914.58,0.00,0.00,841.03,0.00,0.00
RO,Real estate,12566.02,0.00,0.00,0.00,1053.71,0.00
RO,Mining and metals,61.11,0.00,0.00,21.31,0.71,0.00
RO,Retail consumer goods and lifestyle,14003.28,9492.89,0.00,0.00,5162.38,0.00
RO,Oil and gas,0.00,811.22,0.00,0.00,1991.76,0.00
RO,Automotive,671.50,13652.26,0.00,0.00,5393.90,0.00
RO,Healthcare delivery,12373.57,0.00,0.00,1898.19,0.00,0.00
RO,Electronics,0.00,9008.38,0.00,0.00,148.76,0.00
RO,Information technology,0.00,0.00,8160.67,0.00,630.37,0.00
RO,Insurance and asset management,0.00,0.00,1156.27,0.00,173.10,0.00
RO,Banking and capital markets,0.00,0.00,2794.98,0.00,28.80,0.00
RO,Digital communications,0.00,0.00,3972.34,0.00,463.02,0.00
RO,Public services and others,30767.13,2856.45,15431.85,1059.86,6995.09,0.27
SE,Forestry,3409.12,0.00,0.00,0.00,964.56,0.00
SE,Agriculture,4164.17,0.00,0.00,114.72,1088.89,0.00
SE,Fishery and aquaculture,99.51,0.00,0.00,57.58,0.00,0.00
SE,Food beverages and tobacco,5126.17,0.00,0.00,4548.68,56.18,0.00
SE,Heat utilities,0.00,35.43,0.00,269.22,0.00,0.00
SE,Construction,32397.24,0.00,0.00,0.00,8732.32,0.00
SE,Electricity,5075.71,5277.88,0.00,0.00,3061.99,0.00
SE,Water utilities,501.91,0.00,0.00,0.00,57.90,0.00
SE,Supply chain and transport,21858.92,26972.27,0.00,6395.78,1510.73,0.00
SE,Chemical and materials industry,5070.35,27756.07,0.00,8625.57,10119.39,0.00
SE,Aviation travel and tourism,8975.50,0.00,0.00,3142.45,1720.80,0.00
SE,Real estate,44854.77,0.00,0.00,0.00,4930.41,0.00
SE,Mining and metals,1151.66,0.00,0.00,93.32,101.43,0.00
SE,Retail consumer goods and lifestyle,15890.01,24464.06,0.00,0.00,5878.78,0.00
SE,Oil and gas,158.46,189.35,0.00,0.00,4818.59,0.00
SE,Automotive,2158.77,20616.98,0.00,0.00,16006.82,0.00
SE,Healthcare delivery,40172.38,0.00,0.00,4579.46,0.00,0.00
SE,Electronics,0.00,84.36,0.00,8.80,3766.36,0.00
SE,Information technology,0.00,0.00,20648.69,0.00,4572.31,0.00
SE,Insurance and asset management,0.00,0.00,5486.68,0.00,571.33,0.00
SE,Banking and capital markets,0.00,0.00,10151.70,0.00,426.86,0.00
SE,Digital communications,0.00,0.00,17573.19,0.00,528.60,0.00
SE,Public services and others,86780.19,16582.53,25263.75,29.07,19504.83,0.00
SI,Forestry,209.68,0.00,0.00,0.00,24.95,0.00
SI,Agriculture,915.05,0.00,0.00,519.17,7.58,0.00
SI,Fishery and aquaculture,0.00,0.00,0.00,0.00,8.49,0.00
SI,Food beverages and tobacco,653.43,0.00,0.00,486.70,15.47,0.00
SI,Heat utilities,0.00,7.26,0.00,0.00,19.20,0.00
SI,Construction,2996.19,0.00,0.00,0.00,808.47,0.00
SI,Electricity,212.19,709.24,0.00,0.58,507.76,0.00
SI,Water utilities,190.84,0.00,0.00,0.00,48.69,0.00
SI,Supply chain and transport,3878.74,1106.47,0.00,1020.44,277.80,0.00
SI,Chemical and materials industry,1875.52,3992.33,0.00,2633.19,2921.17,0.00
SI,Aviation travel and tourism,758.82,0.00,0.00,270.96,102.13,0.00
SI,Real estate,3951.54,0.00,0.00,0.00,99.23,0.00
SI,Mining and metals,117.23,0.00,0.00,29.61,0.09,0.00
SI,Retail consumer goods and lifestyle,2134.08,2623.46,0.00,440.09,325.69,0.00
SI,Oil and gas,0.00,3.12,0.00,2.44,1.36,0.00
SI,Automotive,0.06,1444.17,0.00,0.00,1053.40,0.00
SI,Healthcare delivery,1957.76,0.00,0.00,590.70,0.00,0.00
SI,Electronics,0.00,3162.94,0.00,1330.56,0.00,0.00
SI,Information technology,0.00,0.00,1038.27,0.00,92.89,0.00
SI,Insurance and asset management,0.00,0.00,667.12,0.00,73.39,0.00
SI,Banking and capital markets,0.00,0.00,977.29,0.00,70.24,0.00
SI,Digital communications,0.00,0.00,713.97,0.00,120.71,0.00
SI,Public services and others,8461.33,1230.81,1031.58,522.29,2290.59,0.00
SK,Forestry,357.25,0.00,0.00,61.09,0.00,0.00
SK,Agriculture,1394.44,0.00,0.00,458.28,269.63,0.00
SK,Fishery and aquaculture,2.28,0.00,0.00,0.00,1.74,0.00
SK,Food beverages and tobacco,1313.04,0.21,0.00,926.46,222.08,0.00
SK,Heat utilities,0.00,2.57,0.00,0.00,92.97,0.00
SK,Construction,5901.62,0.00,0.00,0.00,1452.25,0.00
SK,Electricity,208.57,2381.27,1.06,0.00,1588.36,0.00
SK,Water utilities,333.09,0.00,0.00,0.00,50.92,0.00
SK,Supply chain and transport,974.00,8510.51,0.00,4008.37,2215.30,0.00
SK,Chemical and materials industry,916.36,7241.10,0.00,1069.14,5448.53,0.00
SK,Aviation travel and tourism,1380.81,0.00,0.00,273.90,22.76,0.00
SK,Real estate,13131.79,0.00,0.00,0.00,2657.36,0.00
SK,Mining and metals,310.04,0.00,0.00,0.14,33.75,0.00
SK,Retail consumer goods and lifestyle,4485.02,4509.00,0.00,761.16,773.00,0.00
SK,Oil and gas,0.00,13.29,0.00,0.77,1452.20,0.00
SK,Automotive,155.07,11121.82,0.00,0.00,15229.51,0.00
SK,Healthcare delivery,1500.92,0.00,0.00,0.00,518.95,0.00
SK,Electronics,0.00,1230.47,0.00,5370.44,80.19,0.00
SK,Information technology,0.00,0.00,2694.98,0.00,371.00,0.00
SK,Insurance and asset management,0.00,0.00,617.39,0.00,182.50,0.00
SK,Banking and capital markets,0.00,0.00,1889.29,0.00,72.38,0.00
SK,Digital communications,0.00,0.00,1573.28,0.00,251.59,0.00
SK,Public services and others,14261.00,1916.21,3085.70,5.11,5369.82,0.00
